relative_P_500        	101	1.0000
relative_P_1000       	101	1.0000
success_1             	101	0.0000
success_5             	101	1.0000
success_10            	101	1.0000
set_P                 	101	0.0145
set_relative_P        	101	1.0000
set_recall            	101	1.0000
set_map               	101	0.0145
set_F                 	101	0.0286
num_nonrel_judged_ret 	101	0
num_ret               	1010	62
num_rel               	1010	3
num_rel_ret           	1010	3
map                   	1010	0.0900
Rprec                 	1010	0.0000
bpref                 	1010	1.0000
recip_rank            	1010	0.1667
iprec_at_recall_0.00  	1010	0.1667
iprec_at_recall_0.10  	1010	0.1667
iprec_at_recall_0.20  	1010	0.1667
iprec_at_recall_0.30  	1010	0.1667
iprec_at_recall_0.40  	1010	0.0545
iprec_at_recall_0.50  	1010	0.0545
iprec_at_recall_0.60  	1010	0.0545
iprec_at_recall_0.70  	1010	0.0545
iprec_at_recall_0.80  	1010	0.0545
iprec_at_recall_0.90  	1010	0.0545
iprec_at_recall_1.00  	1010	0.0545
P_5                   	1010	0.0000
P_10                  	1010	0.1000
P_15                  	1010	0.0667
P_20                  	1010	0.0500
P_30                  	1010	0.0333
P_100                 	1010	0.0300
P_200                 	1010	0.0150
P_500                 	1010	0.0060
P_1000                	1010	0.0030
relstring             	1010	'-----1----'
recall_5              	1010	0.0000
recall_10             	1010	0.3333
recall_15             	1010	0.3333
recall_20             	1010	0.3333
recall_30             	1010	0.3333
recall_100            	1010	1.0000
recall_200            	1010	1.0000
recall_500            	1010	1.0000
recall_1000           	1010	1.0000
infAP                 	1010	0.0900
Rprec_mult_0.20       	1010	0.0000
Rprec_mult_0.40       	1010	0.0000
Rprec_mult_0.60       	1010	0.0000
Rprec_mult_0.80       	1010	0.0000
Rprec_mult_1.00       	1010	0.0000
Rprec_mult_1.20       	1010	0.0000
Rprec_mult_1.40       	1010	0.0000
Rprec_mult_1.60       	1010	0.0000
Rprec_mult_1.80       	1010	0.1667
Rprec_mult_2.00       	1010	0.1667
utility               	1010	-56.0000
11pt_avg              	1010	0.0953
binG                  	1010	0.2389
G                     	1010	0.2389
ndcg                  	1010	0.3350
ndcg_rel              	1010	0.2521
Rndcg                 	1010	0.1675
ndcg_cut_5            	1010	0.0000
ndcg_cut_10           	1010	0.1672
ndcg_cut_15           	1010	0.1672
ndcg_cut_20           	1010	0.1672
ndcg_cut_30           	1010	0.1672
ndcg_cut_100          	1010	0.3350
ndcg_cut_200          	1010	0.3350
ndcg_cut_500          	1010	0.3350
ndcg_cut_1000         	1010	0.3350
map_cut_5             	1010	0.0000
map_cut_10            	1010	0.0556
map_cut_15            	1010	0.0556
map_cut_20            	1010	0.0556
map_cut_30            	1010	0.0556
map_cut_100           	1010	0.0900
map_cut_200           	1010	0.0900
map_cut_500           	1010	0.0900
map_cut_1000          	1010	0.0900
relative_P_5          	1010	0.0000
relative_P_10         	1010	0.3333
relative_P_15         	1010	0.3333
relative_P_20         	1010	0.3333
relative_P_30         	1010	0.3333
relative_P_100        	1010	1.0000
relative_P_200        	1010	1.0000
relative_P_500        	1010	1.0000
relative_P_1000       	1010	1.0000
success_1             	1010	0.0000
success_5             	1010	0.0000
success_10            	1010	1.0000
set_P                 	1010	0.0484
set_relative_P        	1010	1.0000
set_recall            	1010	1.0000
set_map               	1010	0.0484
set_F                 	1010	0.0923
num_nonrel_judged_ret 	1010	0
num_ret               	1020	32
num_rel               	1020	1
num_rel_ret           	1020	1
map                   	1020	0.5000
Rprec                 	1020	0.0000
bpref                 	1020	1.0000
recip_rank            	1020	0.5000
iprec_at_recall_0.00  	1020	0.5000
iprec_at_recall_0.10  	1020	0.5000
iprec_at_recall_0.20  	1020	0.5000
iprec_at_recall_0.30  	1020	0.5000
iprec_at_recall_0.40  	1020	0.5000
iprec_at_recall_0.50  	1020	0.5000
iprec_at_recall_0.60  	1020	0.5000
iprec_at_recall_0.70  	1020	0.5000
iprec_at_recall_0.80  	1020	0.5000
iprec_at_recall_0.90  	1020	0.5000
iprec_at_recall_1.00  	1020	0.5000
P_5                   	1020	0.2000
P_10                  	1020	0.1000
P_15                  	1020	0.0667
P_20                  	1020	0.0500
P_30                  	1020	0.0333
P_100                 	1020	0.0100
P_200                 	1020	0.0050
P_500                 	1020	0.0020
P_1000                	1020	0.0010
relstring             	1020	'-1--------'
recall_5              	1020	1.0000
recall_10             	1020	1.0000
recall_15             	1020	1.0000
recall_20             	1020	1.0000
recall_30             	1020	1.0000
recall_100            	1020	1.0000
recall_200            	1020	1.0000
recall_500            	1020	1.0000
recall_1000           	1020	1.0000
infAP                 	1020	0.5000
Rprec_mult_0.20       	1020	0.0000
Rprec_mult_0.40       	1020	0.0000
Rprec_mult_0.60       	1020	0.0000
Rprec_mult_0.80       	1020	0.0000
Rprec_mult_1.00       	1020	0.0000
Rprec_mult_1.20       	1020	0.5000
